,condition,sampleID,targetID,status
194,ConditionA,known6,m2,absent
195,ConditionA,known6,m3,absent
196,ConditionA,known6,m4,absent
197,ConditionA,known6,m5,absent
198,ConditionA,known6,m6,present
199,ConditionA,known6,m7,absent
200,ConditionA,known6,m8,absent
201,ConditionA,known6,m9,absent
202,ConditionA,known6,m10,absent
203,ConditionA,known6,m11,absent
204,ConditionA,known6,m12,absent
205,ConditionA,known6,m13,absent
206,ConditionA,known6,m14,present
207,ConditionA,known6,m15,absent
208,ConditionA,known6,m16,absent
209,ConditionA,known6,m17,absent
210,ConditionA,known6,m18,absent
211,ConditionA,known6,m19,absent
212,ConditionA,known6,m20,absent
213,ConditionA,known6,m21,absent
214,ConditionA,known6,m22,present
215,ConditionA,known6,m23,absent
216,ConditionA,known6,m24,absent
217,ConditionA,known6,m25,absent
218,ConditionA,known6,m26,absent
219,ConditionA,known6,m27,absent
220,ConditionA,known6,m28,absent
221,ConditionA,known6,m29,absent
222,ConditionA,known6,m30,present
223,ConditionA,known6,m31,absent
224,ConditionA,known7,m0,absent
225,ConditionA,known7,m1,absent
226,ConditionA,known7,m2,absent
227,ConditionA,known7,m3,absent
228,ConditionA,known7,m4,absent
229,ConditionA,known7,m5,absent
230,ConditionA,known7,m6,absent
231,ConditionA,known7,m7,present
232,ConditionA,known7,m8,absent
233,ConditionA,known7,m9,absent
234,ConditionA,known7,m10,absent
235,ConditionA,known7,m11,absent
236,ConditionA,known7,m12,absent
237,ConditionA,known7,m13,absent
238,ConditionA,known7,m14,absent
239,ConditionA,known7,m15,present
240,ConditionA,known7,m16,absent
241,ConditionA,known7,m17,absent
242,ConditionA,known7,m18,absent
243,ConditionA,known7,m19,absent
244,ConditionA,known7,m20,absent
245,ConditionA,known7,m21,absent
246,ConditionA,known7,m22,absent
247,ConditionA,known7,m23,present
248,ConditionA,known7,m24,absent
249,ConditionA,known7,m25,absent
250,ConditionA,known7,m26,absent
251,ConditionA,known7,m27,absent
252,ConditionA,known7,m28,absent
253,ConditionA,known7,m29,absent
254,ConditionA,known7,m30,absent
255,ConditionA,known7,m31,present
256,ConditionA,known8,m0,present
257,ConditionA,known8,m1,absent
258,ConditionA,known8,m2,absent
259,ConditionA,known8,m3,absent
260,ConditionA,known8,m4,absent
261,ConditionA,known8,m5,absent
262,ConditionA,known8,m6,absent
263,ConditionA,known8,m7,absent
264,ConditionA,known8,m8,present
265,ConditionA,known8,m9,absent
266,ConditionA,known8,m10,absent
267,ConditionA,known8,m11,absent
268,ConditionA,known8,m12,absent
269,ConditionA,known8,m13,absent
270,ConditionA,known8,m14,absent
271,ConditionA,known8,m15,absent
272,ConditionA,known8,m16,present
273,ConditionA,known8,m17,absent
274,ConditionA,known8,m18,absent
275,ConditionA,known8,m19,absent
276,ConditionA,known8,m20,absent
277,ConditionA,known8,m21,absent
278,ConditionA,known8,m22,absent
279,ConditionA,known8,m23,absent
280,ConditionA,known8,m24,present
281,ConditionA,known8,m25,absent
282,ConditionA,known8,m26,absent
283,ConditionA,known8,m27,absent
284,ConditionA,known8,m28,absent
285,ConditionA,known8,m29,absent
286,ConditionA,known8,m30,absent
287,ConditionA,known8,m31,absent
288,ConditionA,known9,m0,absent
289,ConditionA,known9,m1,present
290,ConditionA,known9,m2,absent
291,ConditionA,known9,m3,absent
292,ConditionA,known9,m4,absent
293,ConditionA,known9,m5,absent
294,ConditionA,known9,m6,absent
295,ConditionA,known9,m7,absent
296,ConditionA,known9,m8,absent
297,ConditionA,known9,m9,present
298,ConditionA,known9,m10,absent
299,ConditionA,known9,m11,absent
300,ConditionA,known9,m12,absent
301,ConditionA,known9,m13,absent
302,ConditionA,known9,m14,absent
303,ConditionA,known9,m15,absent
304,ConditionA,known9,m16,absent
305,ConditionA,known9,m17,present
306,ConditionA,known9,m18,absent
307,ConditionA,known9,m19,absent
308,ConditionA,known9,m20,absent
309,ConditionA,known9,m21,absent
310,ConditionA,known9,m22,absent
311,ConditionA,known9,m23,absent
312,ConditionA,known9,m24,absent
313,ConditionA,known9,m25,present
314,ConditionA,known9,m26,absent
315,ConditionA,known9,m27,absent
316,ConditionA,known9,m28,absent
317,ConditionA,known9,m29,absent
318,ConditionA,known9,m30,absent
319,ConditionA,known9,m31,absent
320,ConditionA,known10,m0,absent
321,ConditionA,known10,m1,absent
322,ConditionA,known10,m2,present
323,ConditionA,known10,m3,absent
324,ConditionA,known10,m4,absent
325,ConditionA,known10,m5,absent
326,ConditionA,known10,m6,absent
327,ConditionA,known10,m7,absent
328,ConditionA,known10,m8,absent
329,ConditionA,known10,m9,absent
330,ConditionA,known10,m10,present
331,ConditionA,known10,m11,absent
332,ConditionA,known10,m12,absent
333,ConditionA,known10,m13,absent
334,ConditionA,known10,m14,absent
335,ConditionA,known10,m15,absent
336,ConditionA,known10,m16,absent
337,ConditionA,known10,m17,absent
338,ConditionA,known10,m18,present
339,ConditionA,known10,m19,absent
340,ConditionA,known10,m20,absent
341,ConditionA,known10,m21,absent
342,ConditionA,known10,m22,absent
343,ConditionA,known10,m23,absent
344,ConditionA,known10,m24,absent
345,ConditionA,known10,m25,absent
346,ConditionA,known10,m26,present
347,ConditionA,known10,m27,absent
348,ConditionA,known10,m28,absent
349,ConditionA,known10,m29,absent
350,ConditionA,known10,m30,absent
351,ConditionA,known10,m31,absent
352,ConditionA,known11,m0,absent
353,ConditionA,known11,m1,absent
354,ConditionA,known11,m2,absent
355,ConditionA,known11,m3,present
356,ConditionA,known11,m4,absent
357,ConditionA,known11,m5,absent
358,ConditionA,known11,m6,absent
359,ConditionA,known11,m7,absent
360,ConditionA,known11,m8,absent
361,ConditionA,known11,m9,absent
362,ConditionA,known11,m10,absent
363,ConditionA,known11,m11,present
364,ConditionA,known11,m12,absent
365,ConditionA,known11,m13,absent
366,ConditionA,known11,m14,absent
367,ConditionA,known11,m15,absent
368,ConditionA,known11,m16,absent
369,ConditionA,known11,m17,absent
370,ConditionA,known11,m18,absent
371,ConditionA,known11,m19,present
372,ConditionA,known11,m20,absent
373,ConditionA,known11,m21,absent
374,ConditionA,known11,m22,absent
375,ConditionA,known11,m23,absent
376,ConditionA,known11,m24,absent
377,ConditionA,known11,m25,absent
378,ConditionA,known11,m26,absent
379,ConditionA,known11,m27,present
380,ConditionA,known11,m28,absent
381,ConditionA,known11,m29,absent
382,ConditionA,known11,m30,absent
383,ConditionA,known11,m31,absent
384,ConditionA,known12,m0,absent
385,ConditionA,known12,m1,absent
386,ConditionA,known12,m2,absent
387,ConditionA,known12,m3,absent
388,ConditionA,known12,m4,present
389,ConditionA,known12,m5,absent
390,ConditionA,known12,m6,absent
391,ConditionA,known12,m7,absent
392,ConditionA,known12,m8,absent
393,ConditionA,known12,m9,absent
394,ConditionA,known12,m10,absent
395,ConditionA,known12,m11,absent
396,ConditionA,known12,m12,present
397,ConditionA,known12,m13,absent
398,ConditionA,known12,m14,absent
399,ConditionA,known12,m15,absent
400,ConditionA,known12,m16,absent
401,ConditionA,known12,m17,absent
402,ConditionA,known12,m18,absent
403,ConditionA,known12,m19,absent
404,ConditionA,known12,m20,present
405,ConditionA,known12,m21,absent
406,ConditionA,known12,m22,absent
407,ConditionA,known12,m23,absent
408,ConditionA,known12,m24,absent
409,ConditionA,known12,m25,absent
410,ConditionA,known12,m26,absent
411,ConditionA,known12,m27,absent
412,ConditionA,known12,m28,present
413,ConditionA,known12,m29,absent
414,ConditionA,known12,m30,absent
415,ConditionA,known12,m31,absent
416,ConditionA,known13,m0,absent
417,ConditionA,known13,m1,absent
418,ConditionA,known13,m2,absent
419,ConditionA,known13,m3,absent
420,ConditionA,known13,m4,absent
421,ConditionA,known13,m5,present
422,ConditionA,known13,m6,absent
423,ConditionA,known13,m7,absent
424,ConditionA,known13,m8,absent
425,ConditionA,known13,m9,absent
426,ConditionA,known13,m10,absent
427,ConditionA,known13,m11,absent
428,ConditionA,known13,m12,absent
429,ConditionA,known13,m13,present
430,ConditionA,known13,m14,absent
431,ConditionA,known13,m15,absent
432,ConditionA,known13,m16,absent
433,ConditionA,known13,m17,absent
434,ConditionA,known13,m18,absent
435,ConditionA,known13,m19,absent
436,ConditionA,known13,m20,absent
437,ConditionA,known13,m21,present
438,ConditionA,known13,m22,absent
439,ConditionA,known13,m23,absent
440,ConditionA,known13,m24,absent
441,ConditionA,known13,m25,absent
442,ConditionA,known13,m26,absent
443,ConditionA,known13,m27,absent
444,ConditionA,known13,m28,absent
445,ConditionA,known13,m29,present
446,ConditionA,known13,m30,absent
447,ConditionA,known13,m31,absent
448,ConditionA,known14,m0,absent
449,ConditionA,known14,m1,absent
450,ConditionA,known14,m2,absent
451,ConditionA,known14,m3,absent
452,ConditionA,known14,m4,absent
453,ConditionA,known14,m5,absent
454,ConditionA,known14,m6,present
455,ConditionA,known14,m7,absent
456,ConditionA,known14,m8,absent
457,ConditionA,known14,m9,absent
458,ConditionA,known14,m10,absent
459,ConditionA,known14,m11,absent
460,ConditionA,known14,m12,absent
461,ConditionA,known14,m13,absent
462,ConditionA,known14,m14,present
463,ConditionA,known14,m15,absent
464,ConditionA,known14,m16,absent
465,ConditionA,known14,m17,absent
466,ConditionA,known14,m18,absent
467,ConditionA,known14,m19,absent
468,ConditionA,known14,m20,absent
469,ConditionA,known14,m21,absent
470,ConditionA,known14,m22,present
471,ConditionA,known14,m23,absent
472,ConditionA,known14,m24,absent
473,ConditionA,known14,m25,absent
474,ConditionA,known14,m26,absent
475,ConditionA,known14,m27,absent
476,ConditionA,known14,m28,absent
477,ConditionA,known14,m29,absent
478,ConditionA,known14,m30,present
479,ConditionA,known14,m31,absent
480,ConditionA,known15,m0,absent
481,ConditionA,known15,m1,absent
482,ConditionA,known15,m2,absent
483,ConditionA,known15,m3,absent
484,ConditionA,known15,m4,absent
485,ConditionA,known15,m5,absent
486,ConditionA,known15,m6,absent
487,ConditionA,known15,m7,present
488,ConditionA,known15,m8,absent
489,ConditionA,known15,m9,absent
490,ConditionA,known15,m10,absent
491,ConditionA,known15,m11,absent
492,ConditionA,known15,m12,absent
493,ConditionA,known15,m13,absent
494,ConditionA,known15,m14,absent
495,ConditionA,known15,m15,present
496,ConditionA,known15,m16,absent
497,ConditionA,known15,m17,absent
498,ConditionA,known15,m18,absent
499,ConditionA,known15,m19,absent
500,ConditionA,known15,m20,absent
501,ConditionA,known15,m21,absent
502,ConditionA,known15,m22,absent
503,ConditionA,known15,m23,present
504,ConditionA,known15,m24,absent
505,ConditionA,known15,m25,absent
506,ConditionA,known15,m26,absent
507,ConditionA,known15,m27,absent
508,ConditionA,known15,m28,absent
509,ConditionA,known15,m29,absent
510,ConditionA,known15,m30,absent
511,ConditionA,known15,m31,present
512,ConditionA,known16,m0,present
513,ConditionA,known16,m1,absent
514,ConditionA,known16,m2,absent
515,ConditionA,known16,m3,absent
516,ConditionA,known16,m4,absent
517,ConditionA,known16,m5,absent
518,ConditionA,known16,m6,absent
519,ConditionA,known16,m7,absent
520,ConditionA,known16,m8,present
521,ConditionA,known16,m9,absent
522,ConditionA,known16,m10,absent
523,ConditionA,known16,m11,absent
524,ConditionA,known16,m12,absent
525,ConditionA,known16,m13,absent
526,ConditionA,known16,m14,absent
527,ConditionA,known16,m15,absent
528,ConditionA,known16,m16,present
529,ConditionA,known16,m17,absent
530,ConditionA,known16,m18,absent
531,ConditionA,known16,m19,absent
532,ConditionA,known16,m20,absent
533,ConditionA,known16,m21,absent
534,ConditionA,known16,m22,absent
535,ConditionA,known16,m23,absent
536,ConditionA,known16,m24,present
537,ConditionA,known16,m25,absent
538,ConditionA,known16,m26,absent
539,ConditionA,known16,m27,absent
540,ConditionA,known16,m28,absent
541,ConditionA,known16,m29,absent
542,ConditionA,known16,m30,absent
543,ConditionA,known16,m31,absent
544,ConditionA,known17,m0,absent
545,ConditionA,known17,m1,present
546,ConditionA,known17,m2,absent
547,ConditionA,known17,m3,absent
548,ConditionA,known17,m4,absent
549,ConditionA,known17,m5,absent
550,ConditionA,known17,m6,absent
551,ConditionA,known17,m7,absent
552,ConditionA,known17,m8,absent
553,ConditionA,known17,m9,present
554,ConditionA,known17,m10,absent
555,ConditionA,known17,m11,absent
556,ConditionA,known17,m12,absent
557,ConditionA,known17,m13,absent
558,ConditionA,known17,m14,absent
559,ConditionA,known17,m15,absent
560,ConditionA,known17,m16,absent
561,ConditionA,known17,m17,present
562,ConditionA,known17,m18,absent
563,ConditionA,known17,m19,absent
564,ConditionA,known17,m20,absent
565,ConditionA,known17,m21,absent
566,ConditionA,known17,m22,absent
567,ConditionA,known17,m23,absent
568,ConditionA,known17,m24,absent
569,ConditionA,known17,m25,present
570,ConditionA,known17,m26,absent
571,ConditionA,known17,m27,absent
572,ConditionA,known17,m28,absent
573,ConditionA,known17,m29,absent
574,ConditionA,known17,m30,absent
575,ConditionA,known17,m31,absent
576,ConditionA,known18,m0,absent
577,ConditionA,known18,m1,absent
578,ConditionA,known18,m2,present
579,ConditionA,known18,m3,absent
580,ConditionA,known18,m4,absent
581,ConditionA,known18,m5,absent
582,ConditionA,known18,m6,absent
583,ConditionA,known18,m7,absent
584,ConditionA,known18,m8,absent
585,ConditionA,known18,m9,absent
586,ConditionA,known18,m10,present
587,ConditionA,known18,m11,absent
588,ConditionA,known18,m12,absent
589,ConditionA,known18,m13,absent
590,ConditionA,known18,m14,absent
591,ConditionA,known18,m15,absent
592,ConditionA,known18,m16,absent
593,ConditionA,known18,m17,absent
594,ConditionA,known18,m18,present
595,ConditionA,known18,m19,absent
596,ConditionA,known18,m20,absent
597,ConditionA,known18,m21,absent
598,ConditionA,known18,m22,absent
599,ConditionA,known18,m23,absent
600,ConditionA,known18,m24,absent
601,ConditionA,known18,m25,absent
602,ConditionA,known18,m26,present
603,ConditionA,known18,m27,absent
604,ConditionA,known18,m28,absent
605,ConditionA,known18,m29,absent
606,ConditionA,known18,m30,absent
607,ConditionA,known18,m31,absent
608,ConditionA,known19,m0,absent
609,ConditionA,known19,m1,absent
610,ConditionA,known19,m2,absent
611,ConditionA,known19,m3,present
612,ConditionA,known19,m4,absent
613,ConditionA,known19,m5,absent
614,ConditionA,known19,m6,absent
615,ConditionA,known19,m7,absent
616,ConditionA,known19,m8,absent
617,ConditionA,known19,m9,absent
618,ConditionA,known19,m10,absent
619,ConditionA,known19,m11,present
620,ConditionA,known19,m12,absent
621,ConditionA,known19,m13,absent
622,ConditionA,known19,m14,absent
623,ConditionA,known19,m15,absent
624,ConditionA,known19,m16,absent
625,ConditionA,known19,m17,absent
626,ConditionA,known19,m18,absent
627,ConditionA,known19,m19,present
628,ConditionA,known19,m20,absent
629,ConditionA,known19,m21,absent
630,ConditionA,known19,m22,absent
631,ConditionA,known19,m23,absent
632,ConditionA,known19,m24,absent
633,ConditionA,known19,m25,absent
634,ConditionA,known19,m26,absent
635,ConditionA,known19,m27,present
636,ConditionA,known19,m28,absent
637,ConditionA,known19,m29,absent
638,ConditionA,known19,m30,absent
639,ConditionA,known19,m31,absent
640,ConditionA,known20,m0,absent
641,ConditionA,known20,m1,absent
642,ConditionA,known20,m2,absent
643,ConditionA,known20,m3,absent
644,ConditionA,known20,m4,present
645,ConditionA,known20,m5,absent
646,ConditionA,known20,m6,absent
647,ConditionA,known20,m7,absent
648,ConditionA,known20,m8,absent
649,ConditionA,known20,m9,absent
650,ConditionA,known20,m10,absent
651,ConditionA,known20,m11,absent
652,ConditionA,known20,m12,present
653,ConditionA,known20,m13,absent
654,ConditionA,known20,m14,absent
655,ConditionA,known20,m15,absent
656,ConditionA,known20,m16,absent
657,ConditionA,known20,m17,absent
658,ConditionA,known20,m18,absent
659,ConditionA,known20,m19,absent
660,ConditionA,known20,m20,present
661,ConditionA,known20,m21,absent
662,ConditionA,known20,m22,absent
663,ConditionA,known20,m23,absent
664,ConditionA,known20,m24,absent
665,ConditionA,known20,m25,absent
666,ConditionA,known20,m26,absent
667,ConditionA,known20,m27,absent
668,ConditionA,known20,m28,present
669,ConditionA,known20,m29,absent
670,ConditionA,known20,m30,absent
671,ConditionA,known20,m31,absent
672,ConditionA,known21,m0,absent
673,ConditionA,known21,m1,absent
674,ConditionA,known21,m2,absent
675,ConditionA,known21,m3,absent
676,ConditionA,known21,m4,absent
677,ConditionA,known21,m5,present
678,ConditionA,known21,m6,absent
679,ConditionA,known21,m7,absent
680,ConditionA,known21,m8,absent
681,ConditionA,known21,m9,absent
682,ConditionA,known21,m10,absent
683,ConditionA,known21,m11,absent
684,ConditionA,known21,m12,absent
685,ConditionA,known21,m13,present
686,ConditionA,known21,m14,absent
687,ConditionA,known21,m15,absent
688,ConditionA,known21,m16,absent
689,ConditionA,known21,m17,absent
690,ConditionA,known21,m18,absent
691,ConditionA,known21,m19,absent
692,ConditionA,known21,m20,absent
693,ConditionA,known21,m21,present
694,ConditionA,known21,m22,absent
695,ConditionA,known21,m23,absent
696,ConditionA,known21,m24,absent
697,ConditionA,known21,m25,absent
698,ConditionA,known21,m26,absent
699,ConditionA,known21,m27,absent
700,ConditionA,known21,m28,absent
701,ConditionA,known21,m29,present
702,ConditionA,known21,m30,absent
703,ConditionA,known21,m31,absent
704,ConditionA,known22,m0,absent
705,ConditionA,known22,m1,absent
706,ConditionA,known22,m2,absent
707,ConditionA,known22,m3,absent
708,ConditionA,known22,m4,absent
709,ConditionA,known22,m5,absent
710,ConditionA,known22,m6,present
711,ConditionA,known22,m7,absent
712,ConditionA,known22,m8,absent
713,ConditionA,known22,m9,absent
714,ConditionA,known22,m10,absent
715,ConditionA,known22,m11,absent
716,ConditionA,known22,m12,absent
717,ConditionA,known22,m13,absent
718,ConditionA,known22,m14,present
719,ConditionA,known22,m15,absent
720,ConditionA,known22,m16,absent
721,ConditionA,known22,m17,absent
722,ConditionA,known22,m18,absent
723,ConditionA,known22,m19,absent
724,ConditionA,known22,m20,absent
725,ConditionA,known22,m21,absent
726,ConditionA,known22,m22,present
727,ConditionA,known22,m23,absent
728,ConditionA,known22,m24,absent
729,ConditionA,known22,m25,absent
730,ConditionA,known22,m26,absent
731,ConditionA,known22,m27,absent
732,ConditionA,known22,m28,absent
733,ConditionA,known22,m29,absent
734,ConditionA,known22,m30,present
735,ConditionA,known22,m31,absent
736,ConditionA,known23,m0,absent
737,ConditionA,known23,m1,absent
738,ConditionA,known23,m2,absent
739,ConditionA,known23,m3,absent
740,ConditionA,known23,m4,absent
741,ConditionA,known23,m5,absent
742,ConditionA,known23,m6,absent
743,ConditionA,known23,m7,present
744,ConditionA,known23,m8,absent
745,ConditionA,known23,m9,absent
746,ConditionA,known23,m10,absent
747,ConditionA,known23,m11,absent
748,ConditionA,known23,m12,absent
749,ConditionA,known23,m13,absent
750,ConditionA,known23,m14,absent
751,ConditionA,known23,m15,present
752,ConditionA,known23,m16,absent
753,ConditionA,known23,m17,absent
754,ConditionA,known23,m18,absent
755,ConditionA,known23,m19,absent
756,ConditionA,known23,m20,absent
757,ConditionA,known23,m21,absent
758,ConditionA,known23,m22,absent
759,ConditionA,known23,m23,present
760,ConditionA,known23,m24,absent
761,ConditionA,known23,m25,absent
762,ConditionA,known23,m26,absent
763,ConditionA,known23,m27,absent
764,ConditionA,known23,m28,absent
765,ConditionA,known23,m29,absent
766,ConditionA,known23,m30,absent
767,ConditionA,known23,m31,present
768,ConditionA,known24,m0,present
769,ConditionA,known24,m1,absent
770,ConditionA,known24,m2,absent
771,ConditionA,known24,m3,absent
772,ConditionA,known24,m4,absent
773,ConditionA,known24,m5,absent
774,ConditionA,known24,m6,absent
775,ConditionA,known24,m7,absent
776,ConditionA,known24,m8,present
777,ConditionA,known24,m9,absent
778,ConditionA,known24,m10,absent
779,ConditionA,known24,m11,absent
780,ConditionA,known24,m12,absent
781,ConditionA,known24,m13,absent
782,ConditionA,known24,m14,absent
783,ConditionA,known24,m15,absent
784,ConditionA,known24,m16,present
785,ConditionA,known24,m17,absent
786,ConditionA,known24,m18,absent
787,ConditionA,known24,m19,absent
788,ConditionA,known24,m20,absent
789,ConditionA,known24,m21,absent
790,ConditionA,known24,m22,absent
791,ConditionA,known24,m23,absent
792,ConditionA,known24,m24,present
793,ConditionA,known24,m25,absent
794,ConditionA,known24,m26,absent
795,ConditionA,known24,m27,absent
796,ConditionA,known24,m28,absent
797,ConditionA,known24,m29,absent
798,ConditionA,known24,m30,absent
799,ConditionA,known24,m31,absent
800,ConditionA,known25,m0,absent
801,ConditionA,known25,m1,present
802,ConditionA,known25,m2,absent
803,ConditionA,known25,m3,absent
804,ConditionA,known25,m4,absent
805,ConditionA,known25,m5,absent
806,ConditionA,known25,m6,absent
807,ConditionA,known25,m7,absent
808,ConditionA,known25,m8,absent
809,ConditionA,known25,m9,present
810,ConditionA,known25,m10,absent
811,ConditionA,known25,m11,absent
812,ConditionA,known25,m12,absent
813,ConditionA,known25,m13,absent
814,ConditionA,known25,m14,absent
815,ConditionA,known25,m15,absent
816,ConditionA,known25,m16,absent
817,ConditionA,known25,m17,present
818,ConditionA,known25,m18,absent
819,ConditionA,known25,m19,absent
820,ConditionA,known25,m20,absent
821,ConditionA,known25,m21,absent
822,ConditionA,known25,m22,absent
823,ConditionA,known25,m23,absent
824,ConditionA,known25,m24,absent
825,ConditionA,known25,m25,present
826,ConditionA,known25,m26,absent
